timeframe,lookback_fast,lookback_slow,top_n,vol_window,target_vol_ann,regime_threshold,breadth_threshold,gross_cap,fee_rate,train_total_return,train_sharpe,train_max_drawdown,train_active_ratio,train_monthly_hit,train_score
1d,3,14,1,5,0.6,0.02,0.5,1.5,0.0004,0.05972885996442212,1.3281279366915104,-0.041736380379384985,0.053763440860215055,0.0,10.9504423262683
1d,7,14,1,5,0.6,0.02,0.5,1.5,0.0004,0.05732227285415825,1.2384432611061555,-0.06055162756432919,0.08602150537634409,0.0,9.543706372057164
1d,3,14,1,5,0.8,0.02,0.5,1.5,0.0004,0.057305305630974246,1.166339750056401,-0.05544577319305122,0.053763440860215055,0.0,9.282223283132986
1d,7,14,1,5,0.8,0.02,0.5,1.5,0.0004,0.05771752797021401,1.1325116307490868,-0.07687731970482081,0.08602150537634409,0.0,8.318917585555276
1d,7,14,1,5,1.0,0.02,0.5,1.5,0.0004,0.05926590661691322,1.118069509220517,-0.08609289127815622,0.08602150537634409,0.0,7.986844121782252
1d,3,14,2,5,0.6,0.02,0.5,1.5,0.0004,0.042746529878827655,1.0581507579898088,-0.05096800244689981,0.053763440860215055,0.0,7.48690043116218
1d,3,14,1,5,1.0,0.02,0.5,1.5,0.0004,0.04808404272162625,0.9583978841656041,-0.06904469951080872,0.053763440860215055,0.0,6.708435978445115
1d,3,14,2,5,0.8,0.02,0.5,1.5,0.0004,0.03038604829347258,0.7268361043014961,-0.06758982802476776,0.053763440860215055,0.0,3.846296853181049
1d,7,14,2,5,0.6,0.02,0.5,1.5,0.0004,0.020520424072984378,0.5231523632058528,-0.08758393724485736,0.08602150537634409,0.0,1.070613068814497
1d,7,14,1,5,0.6,0.05,0.5,1.5,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
1d,7,14,1,10,0.8,0.05,0.5,1.5,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
1d,7,14,1,10,0.6,0.05,0.5,1.5,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
