timeframe,lookback_fast,lookback_mid,lookback_slow,vol_window,volume_window,score_threshold,regime_threshold,top_n,target_vol_ann,gross_cap,max_asset_weight,volume_power,fee_rate,train_total_return,train_sharpe,train_max_drawdown,train_daily_target_hit_rate,train_monthly_shortfall,train_score
1h,12,48,120,72,24,0.6,0.1,1,0.8,2.0,1.0,0.5,0.0004,-0.26067740469475054,-1.9847187123895953,-0.41938570777149253,0.27956989247311825,0.7782612922431315,-69.08602434619227
1h,12,48,120,72,24,0.6,0.25,1,0.8,2.0,1.0,0.5,0.0004,-0.2706605439903863,-2.145608796926438,-0.40191762064476466,0.2903225806451613,0.782296322303265,-69.68714991383432
1h,12,48,120,72,24,0.6,0.1,1,1.6,2.0,1.0,0.5,0.0004,-0.27369075519178465,-2.0074150195391876,-0.4433732935778748,0.26881720430107525,0.7955672655278756,-72.51315904227063
1h,12,48,120,72,24,0.6,0.25,1,1.6,2.0,1.0,0.5,0.0004,-0.2821074721730319,-2.147587463410733,-0.4255139909446938,0.2903225806451613,0.7980071729011288,-72.6211474567826
1h,12,48,120,72,24,0.6,0.1,1,1.2,2.0,1.0,0.5,0.0004,-0.2747569159185208,-2.0190436032100525,-0.4441903746464163,0.26881720430107525,0.7969517540734702,-72.75781820013209
1h,12,48,120,72,24,0.6,0.25,1,1.2,2.0,1.0,0.5,0.0004,-0.28316127786896106,-2.1595536092784666,-0.42635728796354766,0.2903225806451613,0.7993478695776839,-72.86808126631414
1h,12,48,120,72,24,0.6,0.25,1,0.8,2.0,1.0,0.0,0.0004,-0.37849213348936495,-3.4399738608577026,-0.4726101736545574,0.24731182795698925,0.8960050656245161,-94.78281994758602
1h,12,48,120,72,24,0.35,0.25,1,0.8,2.0,1.0,0.0,0.0004,-0.39507506016923766,-3.291918209725663,-0.476003708862176,0.27956989247311825,0.9311637110999323,-95.55546630485962
1h,12,48,120,72,24,0.35,0.25,1,0.8,2.0,1.0,0.5,0.0004,-0.40220526790927114,-3.4048594184657444,-0.49526935088317425,0.27956989247311825,0.9521198148116877,-98.4623781024674
1h,12,48,120,72,24,0.6,0.25,1,1.2,2.0,1.0,0.0,0.0004,-0.406533732088149,-3.6144840535641047,-0.5039789654308723,0.25806451612903225,0.9383535728410942,-100.99660143502484
1h,12,48,120,72,24,0.6,0.25,1,1.6,2.0,1.0,0.0,0.0004,-0.4101048896204731,-3.6547305123537783,-0.5069637504971329,0.25806451612903225,0.9435865743488189,-101.84599490769533
1h,24,72,168,72,24,0.6,0.1,1,0.8,2.0,1.0,0.5,0.0004,-0.42552833409815594,-4.003731697373139,-0.46699617747371747,0.26881720430107525,0.98826349191898,-102.86998868374928
1h,12,48,120,72,24,0.35,0.1,1,0.8,2.0,1.0,0.5,0.0004,-0.42028786638885984,-3.3459345353684236,-0.5293120088643224,0.25806451612903225,0.9828957435731699,-102.89036816211993
1h,12,48,120,72,24,0.35,0.25,1,1.2,2.0,1.0,0.0,0.0004,-0.42999249027782416,-3.507480534956222,-0.5136754008813684,0.27956989247311825,0.9856131795581212,-103.41319745611062
1h,12,48,120,72,24,0.6,0.1,2,0.8,2.0,1.0,0.5,0.0004,-0.43291877875035323,-2.597912996760454,-0.5936618135704799,0.27956989247311825,1.0020650217398155,-103.97908469988027
1h,12,48,120,72,24,0.35,0.25,1,1.6,2.0,1.0,0.0,0.0004,-0.43342284168429546,-3.5444740010788824,-0.5166021417472937,0.27956989247311825,0.990776854662546,-104.22437465494387
1h,12,48,120,72,24,0.35,0.25,1,1.2,2.0,1.0,0.5,0.0004,-0.43025256137573864,-3.5351410215501056,-0.5305615047727248,0.27956989247311825,0.9960342125779412,-104.87056302201887
1h,24,72,168,72,24,0.6,0.25,1,0.8,2.0,1.0,0.5,0.0004,-0.4344944462038125,-4.256004243177593,-0.4655180917888022,0.2903225806451613,1.0053784404528034,-104.9696027379628
1h,12,48,120,72,24,0.35,0.25,1,1.6,2.0,1.0,0.5,0.0004,-0.43281473415282734,-3.5619814430427614,-0.5326725849662455,0.27956989247311825,0.9998556615768233,-105.4661700342212
1h,12,48,120,72,24,0.6,0.25,2,0.8,2.0,1.0,0.5,0.0004,-0.44846201498087,-2.7865521720770934,-0.5833479719781511,0.27956989247311825,1.01515467760753,-106.04799171031048
1h,24,72,168,72,24,0.35,0.25,1,0.8,2.0,1.0,0.0,0.0004,-0.4467952509743802,-4.073103413366622,-0.4939516081780515,0.27956989247311825,1.0200219745422567,-107.38181566686953
1h,12,48,120,72,24,0.6,0.1,1,0.8,2.0,1.0,0.0,0.0004,-0.439594766671901,-4.115426545604503,-0.5360574374879381,0.25806451612903225,0.9936848133462501,-109.99650281367828
1h,12,48,120,72,24,0.35,0.1,1,1.2,2.0,1.0,0.5,0.0004,-0.4545145834655109,-3.534753816148276,-0.5677922035664736,0.27956989247311825,1.037531547386561,-110.2325695926165
1h,24,72,168,72,24,0.6,0.25,1,0.8,2.0,1.0,0.0,0.0004,-0.4534218212445469,-4.438513533339186,-0.49277922971773036,0.27956989247311825,1.0427467869008917,-110.33666542036818
1h,24,72,168,72,24,0.35,0.1,1,0.8,2.0,1.0,0.5,0.0004,-0.467629009982937,-4.076262211072211,-0.5111525370628865,0.3010752688172043,1.0551939499629968,-110.62549915775772
1h,24,72,168,72,24,0.35,0.25,1,0.8,2.0,1.0,0.5,0.0004,-0.46224752867591323,-4.302541862398967,-0.4935824820636645,0.26881720430107525,1.0452628319211983,-110.65180517299403
1h,12,48,120,72,24,0.35,0.1,1,1.6,2.0,1.0,0.5,0.0004,-0.4609044987307753,-3.5975604556931233,-0.5728551642112194,0.27956989247311825,1.0474189597512673,-111.68190750046188
